name,image_url
IMG_20250707_101208,/static/image/IMG_20250707_101208.jpg
אאונים הוורתים 2,/static/image/%D7%90%D7%90%D7%95%D7%A0%D7%99%D7%9D%20%D7%94%D7%95%D7%95%D7%A8%D7%AA%D7%99%D7%9D%20%282%29.jpg
אאונים הוורתים 3,/static/image/%D7%90%D7%90%D7%95%D7%A0%D7%99%D7%9D%20%D7%94%D7%95%D7%95%D7%A8%D7%AA%D7%99%D7%9D%20%283%29.jpg
אאונים הוורתים 4,/static/image/%D7%90%D7%90%D7%95%D7%A0%D7%99%D7%9D%20%D7%94%D7%95%D7%95%D7%A8%D7%AA%D7%99%D7%9D%20%284%29.jpg
אאונים הוורתים 5,/static/image/%D7%90%D7%90%D7%95%D7%A0%D7%99%D7%9D%20%D7%94%D7%95%D7%95%D7%A8%D7%AA%D7%99%D7%9D%20%285%29.jpg
אאונים הוורתים,/static/image/%D7%90%D7%90%D7%95%D7%A0%D7%99%D7%9D%20%D7%94%D7%95%D7%95%D7%A8%D7%AA%D7%99%D7%9D.jpg
אבוקדו,/static/image/%D7%90%D7%91%D7%95%D7%A7%D7%93%D7%95.jpg
אגבה רכה,/static/image/%D7%90%D7%92%D7%91%D7%94%20%D7%A8%D7%9B%D7%94.jpg
אורגנו,/static/image/%D7%90%D7%95%D7%A8%D7%92%D7%A0%D7%95.jpg
אכבריה אלגנס 2,/static/image/%D7%90%D7%9B%D7%91%D7%A8%D7%99%D7%94%20%D7%90%D7%9C%D7%92%D7%A0%D7%A1%20%282%29.jpg
אכבריה אלגנס,/static/image/%D7%90%D7%9B%D7%91%D7%A8%D7%99%D7%94%20%D7%90%D7%9C%D7%92%D7%A0%D7%A1.jpg
אלווי נמוך,/static/image/%D7%90%D7%9C%D7%95%D7%95%D7%99%20%D7%A0%D7%9E%D7%95%D7%9A.jpg
אלוורה 2,/static/image/%D7%90%D7%9C%D7%95%D7%95%D7%A8%D7%94%20%282%29.jpg
אלוורה מנומרת,/static/image/%D7%90%D7%9C%D7%95%D7%95%D7%A8%D7%94%20%D7%9E%D7%A0%D7%95%D7%9E%D7%A8%D7%AA.jpg
